id,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22
chapalita oriente," $8,240,000.00 "," $8,240,000.00 "," $8,240,000.00 "," $8,720,000.00 "," $8,720,000.00 "," $7,160,000.00 "," $7,620,000.00 "," $8,660,000.00 "," $8,690,000.00 "," $8,720,000.00 "," $8,720,000.00 "," $8,410,000.00 "," $8,660,000.00 "," $8,660,000.00 "," $8,690,000.00 "," $8,720,000.00 "," $8,690,000.00 "," $8,660,000.00 "," $8,310,000.00 "
Providencia 2a secc," $8,360,000.00 "," $8,360,000.00 "," $8,360,000.00 "," $8,360,000.00 "," $8,360,000.00 "," $7,860,000.00 "," $7,620,000.00 "," $7,770,000.00 "," $7,480,000.00 "," $7,770,000.00 "," $7,770,000.00 "," $7,620,000.00 "," $7,480,000.00 "," $7,620,000.00 "," $7,770,000.00 "," $7,480,000.00 "," $7,480,000.00 "," $7,480,000.00 "," $7,480,000.00 "
Americana," $8,760,000.00 "," $8,760,000.00 "," $8,760,000.00 "," $8,760,000.00 "," $8,760,000.00 "," $8,760,000.00 "," $8,760,000.00 "," $8,760,000.00 "," $8,760,000.00 "," $8,760,000.00 "," $8,760,000.00 "," $8,760,000.00 "," $8,760,000.00 "," $8,760,000.00 "," $8,760,000.00 "," $8,070,000.00 "," $7,850,000.00 "," $7,820,000.00 "," $7,670,000.00 "
Terranova," $9,820,000.00 "," $9,820,000.00 "," $9,820,000.00 "," $9,820,000.00 "," $9,820,000.00 "," $9,820,000.00 "," $9,820,000.00 "," $9,830,000.00 "," $12,200,000.00 "," $12,200,000.00 "," $14,500,000.00 "," $13,700,000.00 "," $14,100,000.00 "," $14,100,000.00 "," $14,100,000.00 "," $14,100,000.00 "," $13,700,000.00 "," $14,100,000.00 "," $14,100,000.00 "
providencia 1a secc," $10,700,000.00 "," $10,700,000.00 "," $10,700,000.00 "," $10,600,000.00 "," $10,300,000.00 "," $10,300,000.00 "," $10,200,000.00 "," $9,960,000.00 "," $9,640,000.00 "," $9,530,000.00 "," $9,390,000.00 "," $9,350,000.00 "," $9,220,000.00 "," $9,050,000.00 "," $9,100,000.00 "," $8,360,000.00 "," $8,020,000.00 "," $7,870,000.00 "," $8,210,000.00 "
Puerta de Hierro," $21,600,000.00 "," $21,400,000.00 "," $21,400,000.00 "," $21,400,000.00 "," $21,500,000.00 "," $21,400,000.00 "," $21,400,000.00 "," $20,600,000.00 "," $20,600,000.00 "," $20,600,000.00 "," $20,600,000.00 "," $20,600,000.00 "," $20,700,000.00 "," $20,600,000.00 "," $20,700,000.00 "," $20,600,000.00 "," $20,100,000.00 "," $19,700,000.00 "," $19,600,000.00 "
 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
